City,Temperature (°C),Feels Like (°C),Weather,Description,Humidity (%),Pressure (hPa),Wind Speed (m/s)
accra,28.46,32.57,Clouds,overcast clouds,76,1009,4.76
almaty,-5.15,-5.15,Clouds,overcast clouds,81,1028,0.94
auckland,16.01,15.36,Clouds,few clouds,65,1022,2.42
austin,28.2,27.51,Clear,clear sky,35,1016,2.06
bangalore,22.02,22.5,Clear,clear sky,85,1013,4.63
bangkok,27.95,31.68,Clouds,scattered clouds,78,1009,4.66
barcelona,12.45,11.16,Clouds,few clouds,54,1018,5.66
beijing,5.48,3.88,Clouds,overcast clouds,55,1022,2.05
berlin,2.14,-0.55,Clear,clear sky,86,1032,2.57
birmingham,4.29,4.29,Clouds,overcast clouds,74,1036,0.89
bogotá,18.99,18.72,Clouds,scattered clouds,68,1009,7.6
bordeaux,9.21,6.18,Clear,clear sky,53,1025,6.17
brisbane,21.5,21.85,Clouds,few clouds,82,1011,4.12
budapest,5.93,2.67,Clear,clear sky,67,1028,4.63
buenos_aires,27.68,29.94,Clouds,few clouds,69,1010,3.09
busan,10.91,10.48,Fog,fog,93,1016,0.51
calgary,10.05,8.08,Clouds,overcast clouds,37,1009,1.03
cape_town,20.42,20.71,Clear,clear sky,84,1015,6.26
chicago,-2.94,-6.7,Clear,clear sky,51,1022,2.68
ciudad_de_mexico,24.94,24.14,Clear,clear sky,25,1013,4.02
cologne,4.83,3.11,Clouds,broken clouds,79,1034,2.06
copenhagen,3.18,0.25,Clouds,overcast clouds,92,1029,3.09
dallas,24.4,23.57,Clouds,few clouds,26,1017,3.6
delhi,20.07,20.3,Mist,mist,83,1013,1.54
denver,16.82,14.9,Clear,clear sky,13,1013,1.79
detroit,-3.49,-10.49,Clouds,few clouds,45,1016,7.2
dubai,21.01,20.73,Clear,clear sky,60,1015,2.06
dublin,9.01,8.48,Clouds,broken clouds,77,1036,1.54
durban,24.65,25.44,Clouds,overcast clouds,87,1014,4.88
edmonton,1.92,-0.36,Clouds,overcast clouds,95,1011,2.12
frankfurt,5.79,2.76,Clouds,broken clouds,75,1033,4.12
fukuoka,16.83,17.02,Clouds,overcast clouds,94,1017,5.66
glasgow,6.38,4.78,Clear,clear sky,76,1034,2.21
guadalajara,27.88,26.69,Clear,clear sky,21,1012,2.06
guangzhou,21.92,22.33,Clear,clear sky,83,1012,4.14
guatemala_city,26.71,25.94,Clouds,few clouds,21,1012,1.54
hamburg,3.29,-1.12,Clouds,broken clouds,89,1033,5.66
honolulu,25.41,26.04,Clouds,scattered clouds,78,1020,4.12
houston,26.75,26.93,Clear,clear sky,45,1016,2.57
istanbul,4.83,2.64,Clear,clear sky,66,1026,2.57
jakarta,26.74,29.41,Clouds,overcast clouds,83,1008,0.71
johannesburg,16.71,16.76,Clouds,scattered clouds,89,1015,2.55
kingston,29.9,33.88,Clouds,few clouds,66,1013,2.57
kuala_lumpur,25.69,26.72,Clouds,broken clouds,92,1009,0.93
