City,Temperature (°C),Feels Like (°C),Weather,Description,Humidity (%),Pressure (hPa),Wind Speed (m/s)
accra,30.05,36.17,Clouds,few clouds,74,1008,8.23
almaty,3.85,1.74,Clouds,scattered clouds,47,1026,2.28
auckland,17.8,18.01,Clouds,overcast clouds,91,1013,2.06
austin,24.43,23.66,Clear,clear sky,28,1023,3.13
bangalore,26.91,27.77,Clouds,scattered clouds,57,1014,2.57
bangkok,28.95,32.99,Clear,clear sky,72,1011,4.01
barcelona,11.37,10.26,Clouds,scattered clouds,65,1017,3.6
beijing,1.92,-1.24,Clear,clear sky,25,1027,3.05
berlin,3.99,0.61,Clear,clear sky,35,1032,4.02
birmingham,6.52,3.95,Clouds,broken clouds,70,1027,3.6
bogotá,16.99,16.76,Clouds,broken clouds,77,1019,5.14
bordeaux,13.21,11.58,Clear,clear sky,38,1016,4.12
brisbane,21.44,21.7,Clear,clear sky,79,1019,4.12
budapest,3.46,1.82,Clouds,overcast clouds,59,1024,1.79
buenos_aires,27.81,28.32,Clouds,scattered clouds,51,1017,1.79
busan,-0.09,-0.09,Clear,clear sky,55,1016,1.03
calgary,0.78,-3.73,Clouds,few clouds,65,1005,4.63
cape_town,20.28,20.3,Clear,clear sky,74,1017,6.17
chicago,6.87,3.21,Clouds,broken clouds,49,1019,6.17
ciudad_de_mexico,18.92,17.99,Clear,clear sky,43,1023,2.06
cologne,9.14,7.14,Clear,clear sky,33,1029,3.6
copenhagen,3.18,-0.45,Clear,clear sky,42,1031,4.12
dallas,23.66,22.84,Clouds,few clouds,29,1022,8.75
delhi,22.07,21.72,Haze,haze,53,1013,1.54
denver,19.72,18.06,Clouds,broken clouds,12,1004,3.58
detroit,4.09,4.09,Clear,clear sky,53,1022,0.0
dubai,25.01,25.16,Clear,clear sky,61,1015,2.06
dublin,6.69,2.79,Clouds,broken clouds,75,1027,6.69
durban,24.45,25.2,Rain,moderate rain,86,1019,5.73
edmonton,-4.66,-8.75,Mist,mist,86,1008,2.68
frankfurt,7.24,3.33,Clear,clear sky,39,1029,7.2
fukuoka,2.86,2.86,Clouds,scattered clouds,75,1017,1.03
glasgow,6.62,3.3,Clouds,overcast clouds,69,1030,5.14
guadalajara,21.88,20.67,Clear,clear sky,21,1019,5.14
guangzhou,13.92,12.57,Rain,light rain,46,1023,4.91
guatemala_city,23.41,23.29,Clouds,scattered clouds,57,1020,10.29
hamburg,4.79,2.19,Clear,clear sky,57,1033,3.09
honolulu,22.56,23.25,Rain,light rain,91,1018,2.57
houston,24.54,24.07,Clouds,few clouds,39,1026,8.23
istanbul,9.27,6.09,Clouds,broken clouds,82,1008,6.69
jakarta,24.03,25.1,Rain,moderate rain,100,1009,1.54
johannesburg,16.24,16.11,Clouds,broken clouds,84,1018,0.74
kingston,28.9,31.65,Clouds,few clouds,65,1017,5.14
kuala_lumpur,26.51,26.51,Clouds,few clouds,94,1012,1.03
kyiv,-0.37,-1.91,Clouds,overcast clouds,83,1014,1.34
kyoto,1.16,-0.48,Clouds,scattered clouds,91,1016,1.53
lagos,31.12,38.12,Thunderstorm,thunderstorm,74,1008,7.72
lima,23.21,23.39,Clear,clear sky,69,1013,3.09
liverpool,6.91,4.14,Clouds,broken clouds,64,1028,4.12
london,6.71,2.82,Clouds,overcast clouds,66,1027,6.69
los_angeles,15.5,15.04,Haze,haze,74,1019,2.06
lyon,9.0,7.98,Clouds,overcast clouds,69,1019,2.06
madrid,8.04,5.53,Clouds,broken clouds,89,1012,4.12
