City,Temperature (°C),Feels Like (°C),Weather,Description,Humidity (%),Pressure (hPa),Wind Speed (m/s)
accra,29.54,33.52,Clouds,overcast clouds,68,1009,7.35
almaty,6.85,4.95,Clear,clear sky,35,1020,2.68
auckland,13.48,13.29,Clouds,broken clouds,92,1019,5.14
austin,24.03,22.83,Clear,clear sky,13,1017,7.2
bangalore,25.51,25.76,Clouds,broken clouds,63,1015,6.75
bangkok,29.37,29.64,Clouds,overcast clouds,46,1016,4.1
barcelona,13.85,13.28,Drizzle,drizzle,76,1023,5.66
beijing,13.92,11.76,Clear,clear sky,15,1019,3.44
berlin,11.94,10.08,Clear,clear sky,34,1026,2.57
birmingham,13.38,12.13,Clear,clear sky,52,1020,1.54
bogotá,16.99,16.39,Clouds,broken clouds,63,1014,3.09
bordeaux,20.21,19.57,Clouds,few clouds,49,1018,8.23
brisbane,20.18,20.76,Rain,light intensity shower rain,96,1019,3.09
budapest,8.01,6.06,Clear,clear sky,37,1032,3.09
buenos_aires,29.62,31.77,Clear,clear sky,58,1016,3.58
busan,4.21,2.46,Clear,clear sky,49,1024,1.99
calgary,2.55,0.61,Clouds,few clouds,37,1019,1.92
cape_town,24.39,24.48,Clear,clear sky,61,1013,2.68
chicago,4.59,2.17,Clouds,scattered clouds,84,1000,2.79
ciudad_de_mexico,21.66,20.64,Clouds,few clouds,29,1016,2.06
cologne,16.55,15.25,Clear,clear sky,38,1024,4.12
copenhagen,8.41,6.81,Clear,clear sky,71,1025,2.69
dallas,17.43,16.14,Clear,clear sky,35,1015,9.77
delhi,25.07,24.86,Haze,haze,47,1014,1.03
denver,2.87,-0.77,Clouds,overcast clouds,40,1023,4.02
detroit,19.97,19.09,Clear,clear sky,41,1003,10.8
dubai,25.01,25.05,Clear,clear sky,57,1015,3.09
dublin,10.7,9.55,Clear,clear sky,66,1019,4.63
durban,24.13,24.66,Clear,clear sky,79,1020,7.77
edmonton,-0.16,-3.28,Clouds,broken clouds,47,1019,2.57
frankfurt,13.34,11.67,Clear,clear sky,36,1026,0.62
