City,Temperature (°C),Feels Like (°C),Weather,Description,Humidity (%),Pressure (hPa),Wind Speed (m/s)
accra,27.05,31.32,Clouds,few clouds,94,1012,4.12
almaty,14.85,14.04,Clouds,overcast clouds,63,1018,3.9
auckland,17.81,17.92,Clouds,scattered clouds,87,1012,2.57
austin,15.88,15.8,Mist,mist,87,1008,4.12
bangalore,30.41,30.44,Clouds,scattered clouds,42,1010,2.06
bangkok,35.82,42.25,Clouds,broken clouds,49,1008,5.84
barcelona,15.06,14.42,Clouds,broken clouds,69,1012,2.57
beijing,22.92,21.42,Clouds,broken clouds,6,1009,5.04
berlin,7.14,3.86,Clear,clear sky,66,1018,5.36
birmingham,6.37,2.57,Clouds,broken clouds,85,1022,6.17
bogotá,11.99,11.86,Clouds,broken clouds,100,1018,1.03
bordeaux,13.21,12.57,Clear,clear sky,76,1012,4.12
brisbane,25.15,25.73,Clouds,scattered clouds,77,1014,4.63
budapest,17.26,16.11,Clouds,overcast clouds,41,1009,1.34
buenos_aires,11.79,10.62,Clouds,overcast clouds,61,1031,4.47
busan,13.91,12.98,Rain,moderate rain,62,1012,5.66
calgary,-1.0,-4.28,Clear,clear sky,67,1025,2.57
cape_town,22.38,22.53,Clouds,overcast clouds,71,1012,2.68
chicago,5.55,3.08,Rain,moderate rain,96,1016,3.13
ciudad_de_mexico,18.84,17.8,Clouds,few clouds,39,1014,2.57
cologne,13.88,12.97,Clear,clear sky,63,1017,1.03
copenhagen,5.3,0.83,Clouds,scattered clouds,55,1023,7.2
dallas,13.38,13.15,Clouds,overcast clouds,91,1010,4.12
delhi,33.07,31.08,Clear,clear sky,21,1007,4.63
denver,-2.3,-4.09,Snow,light snow,86,1032,1.34
detroit,6.76,3.48,Clouds,overcast clouds,81,1016,5.14
dubai,39.01,35.79,Clear,clear sky,8,1013,6.17
dublin,8.28,4.82,Clouds,few clouds,77,1022,6.71
durban,21.45,21.74,Clouds,overcast clouds,80,1014,0.98
edmonton,0.87,0.87,Clear,clear sky,63,1024,1.03
frankfurt,13.72,12.77,Clear,clear sky,62,1016,4.12
fukuoka,17.86,16.88,Rain,moderate rain,45,1014,8.75
