City,Temperature (°C),Feels Like (°C),Weather,Description,Humidity (%),Pressure (hPa),Wind Speed (m/s)
accra,28.49,32.64,Clouds,broken clouds,76,1010,5.16
almaty,1.85,0.09,Clouds,broken clouds,82,1026,1.69
auckland,21.74,21.95,Clouds,few clouds,76,1023,3.6
austin,30.5,33.16,Clear,clear sky,57,1005,4.63
bangalore,22.89,22.28,Clear,clear sky,40,1009,2.57
bangkok,30.37,35.19,Clouds,scattered clouds,67,1008,4.12
barcelona,12.92,11.44,Clouds,few clouds,45,1016,3.13
beijing,-3.08,-6.06,Clear,clear sky,19,1028,2.01
berlin,6.23,3.92,Clear,clear sky,73,1016,3.09
birmingham,9.61,7.25,Clouds,overcast clouds,89,1015,4.63
bogotá,15.99,16.1,Clouds,broken clouds,94,1012,3.09
bordeaux,7.21,5.1,Clear,clear sky,87,1027,3.09
brisbane,24.09,24.9,Clouds,few clouds,90,1008,3.09
budapest,7.41,5.34,Clouds,overcast clouds,94,1009,3.09
buenos_aires,22.74,23.0,Clouds,few clouds,74,1012,4.92
busan,1.45,-1.13,Clouds,few clouds,38,1030,2.33
calgary,-2.13,-4.64,Snow,snow,79,1019,1.79
cape_town,17.47,17.47,Clouds,few clouds,84,1018,0.89
chicago,18.83,18.86,Clouds,overcast clouds,80,1009,0.8
ciudad_de_mexico,26.61,26.61,Clouds,broken clouds,9,1008,7.6
cologne,6.99,6.99,Clear,clear sky,71,1020,0.51
copenhagen,5.5,2.41,Clouds,few clouds,78,1014,4.12
dallas,27.6,29.17,Clouds,scattered clouds,63,1005,8.23
delhi,17.07,16.01,Haze,haze,45,1009,2.57
denver,14.08,12.88,Clouds,overcast clouds,51,1002,3.58
detroit,17.55,17.66,Clouds,overcast clouds,88,1011,2.57
dubai,26.01,26.01,Clear,clear sky,41,1012,2.57
dublin,10.66,9.92,Clouds,scattered clouds,82,1017,8.49
durban,23.33,24.07,Clear,clear sky,90,1012,3.03
edmonton,-3.35,-6.05,Clouds,overcast clouds,74,1023,1.79
frankfurt,6.82,5.43,Clear,clear sky,67,1020,2.06
fukuoka,5.86,1.92,Clouds,broken clouds,39,1028,6.17
glasgow,9.72,5.68,Rain,light rain,79,1007,10.8
guadalajara,29.88,28.11,Clouds,few clouds,7,1007,4.12
guangzhou,9.92,7.52,Clouds,overcast clouds,66,1021,4.91
guatemala_city,23.73,23.1,Clouds,broken clouds,36,1011,8.23
hamburg,3.42,1.46,Clear,clear sky,92,1016,2.06
honolulu,27.73,28.77,Clouds,few clouds,57,1017,5.14
houston,30.26,33.99,Haze,haze,63,1005,3.6
istanbul,11.55,10.01,Clouds,broken clouds,48,1007,0.0
jakarta,26.2,26.2,Clouds,few clouds,78,1008,2.57
johannesburg,15.67,15.56,Clouds,scattered clouds,87,1016,0.86
kingston,28.9,30.03,Clouds,few clouds,54,1013,8.23
kuala_lumpur,26.08,26.08,Clouds,overcast clouds,91,1009,0.27
kyiv,6.86,6.86,Clouds,few clouds,80,1015,0.45
kyoto,6.71,4.14,Clouds,broken clouds,68,1023,3.68
lagos,28.98,34.05,Clouds,overcast clouds,77,1009,6.08
lima,24.21,24.49,Clear,clear sky,69,1009,3.6
liverpool,11.28,10.68,Clouds,broken clouds,85,1014,6.26
london,10.09,9.14,Clouds,broken clouds,76,1018,6.17
los_angeles,18.05,17.56,Clear,clear sky,63,1013,6.17
