City,Temperature (°C),Feels Like (°C),Weather,Description,Humidity (%),Pressure (hPa),Wind Speed (m/s)
accra,28.6,32.91,Clouds,overcast clouds,76,1008,5.65
almaty,-3.15,-5.33,Clouds,overcast clouds,78,1014,1.49
auckland,18.37,18.46,Clouds,overcast clouds,84,1020,3.6
austin,25.18,25.14,Clear,clear sky,53,1014,8.75
bangalore,23.25,23.43,Clouds,overcast clouds,69,1013,1.54
bangkok,27.95,31.82,Clouds,few clouds,79,1008,5.08
barcelona,13.06,11.94,Clouds,overcast clouds,58,1023,8.23
beijing,-4.08,-6.55,Clouds,overcast clouds,21,1029,1.58
berlin,7.27,4.59,Clouds,overcast clouds,70,1031,4.12
birmingham,3.84,1.72,Clear,clear sky,75,1032,2.29
bogotá,18.99,18.59,Drizzle,drizzle,63,1012,5.66
bordeaux,11.21,9.9,Clear,clear sky,58,1025,3.6
brisbane,24.04,24.51,Rain,light rain,77,1008,5.66
budapest,5.8,3.79,Clear,clear sky,62,1029,2.57
buenos_aires,20.4,20.79,Rain,heavy intensity rain,88,1013,4.12
busan,5.61,0.55,Rain,moderate rain,88,1015,9.44
calgary,8.15,5.57,Clouds,broken clouds,51,1007,4.32
cape_town,23.89,24.24,Clear,clear sky,73,1010,0.89
chicago,0.91,-0.78,Clouds,broken clouds,47,1025,1.54
ciudad_de_mexico,26.58,26.58,Clouds,few clouds,18,1013,2.24
cologne,5.16,3.03,Clear,clear sky,74,1032,2.57
copenhagen,5.79,1.64,Clouds,few clouds,76,1026,6.69
dallas,22.59,21.79,Clouds,few clouds,34,1014,8.75
delhi,16.07,15.38,Haze,haze,63,1012,1.03
denver,15.83,14.02,Clear,clear sky,21,1004,1.34
detroit,-1.72,-5.14,Clouds,overcast clouds,53,1024,2.57
dubai,21.01,20.29,Clear,clear sky,43,1017,5.66
dublin,9.93,8.11,Clouds,broken clouds,72,1030,3.6
durban,22.73,23.41,Clouds,broken clouds,90,1019,1.83
edmonton,3.07,1.2,Clouds,overcast clouds,100,1011,1.93
frankfurt,4.99,2.83,Clear,clear sky,71,1032,2.57
fukuoka,11.86,11.71,Rain,moderate rain,100,1008,1.03
glasgow,7.87,5.33,Clouds,overcast clouds,81,1025,4.12
guadalajara,28.88,27.27,Clear,clear sky,13,1013,1.54
guangzhou,22.92,23.23,Clouds,broken clouds,75,1009,3.81
guatemala_city,25.96,25.96,Clouds,few clouds,44,1014,4.12
hamburg,5.86,3.48,Clouds,overcast clouds,79,1031,3.09
honolulu,25.49,25.92,Clouds,few clouds,70,1022,2.57
houston,22.8,22.68,Clouds,few clouds,59,1017,9.77
istanbul,4.83,0.22,Clouds,broken clouds,87,1024,7.2
jakarta,25.07,26.22,Clouds,broken clouds,99,1008,0.98
johannesburg,18.03,18.32,Rain,light rain,93,1018,2.87
kingston,31.56,35.0,Rain,light rain,56,1013,3.44
kuala_lumpur,24.58,25.55,Clouds,broken clouds,94,1008,1.09
kyiv,2.41,2.41,Clouds,overcast clouds,94,1024,0.45
kyoto,9.47,8.38,Rain,moderate rain,93,1010,2.24
lagos,28.94,34.15,Clouds,overcast clouds,78,1007,6.27
lima,27.21,27.69,Clear,clear sky,51,1011,3.6
liverpool,7.33,5.22,Clear,clear sky,74,1031,3.13
london,5.89,2.89,Clear,clear sky,75,1032,4.12
los_angeles,15.56,14.79,Clear,clear sky,62,1019,9.26
lyon,5.82,4.83,Clear,clear sky,74,1028,1.54
madrid,3.75,-0.97,Clouds,overcast clouds,93,1021,6.69
manchester,7.99,6.8,Clouds,overcast clouds,73,1031,2.06
manila,27.15,29.48,Clouds,broken clouds,74,1010,1.03
marseille,10.99,9.76,Clear,clear sky,62,1025,2.06
medellin,20.88,20.72,Clouds,overcast clouds,65,1011,2.24
melbourne,11.59,10.92,Clouds,overcast clouds,81,1021,2.06
miami,26.77,27.49,Clouds,few clouds,55,1014,3.09
milano,8.99,8.99,Rain,light rain,75,1029,1.03
monterrey,23.08,23.27,Clear,clear sky,70,1012,2.26
montreal,-13.53,-20.45,Clouds,overcast clouds,59,1019,3.58
mumbai,28.0,27.41,Smoke,smoke,36,1012,1.54
munich,2.22,-0.67,Clear,clear sky,75,1032,2.81
nagoya,11.96,11.54,Rain,moderate rain,89,1009,1.24
