City,Temperature (°C),Feels Like (°C),Weather,Description,Humidity (%),Pressure (hPa),Wind Speed (m/s)
accra,28.95,33.18,Clouds,scattered clouds,73,1008,5.28
almaty,-1.15,-1.15,Snow,snow,100,1029,0.46
auckland,14.39,13.97,Clear,clear sky,80,1027,2.06
austin,14.65,13.53,Clouds,broken clouds,52,1021,7.2
bangalore,21.13,21.2,Clear,clear sky,73,1014,4.12
bangkok,29.29,32.98,Clear,clear sky,68,1012,0.7
barcelona,13.52,12.81,Clouds,few clouds,72,1001,3.6
beijing,8.92,6.33,Clear,clear sky,52,1018,4.78
berlin,10.22,8.99,Clear,clear sky,65,1003,1.34
birmingham,11.84,10.83,Clear,clear sky,67,1003,3.09
bogotá,18.99,18.59,Clouds,broken clouds,63,1013,6.69
bordeaux,10.21,9.14,Clear,clear sky,71,998,0.0
brisbane,22.54,23.43,Rain,light intensity shower rain,99,1017,4.63
budapest,13.76,12.24,Clouds,broken clouds,40,1009,2.15
buenos_aires,21.37,20.82,Clear,clear sky,48,1022,4.92
busan,0.91,0.91,Clouds,overcast clouds,86,1029,1.03
calgary,11.32,9.4,Clouds,broken clouds,34,999,10.8
cape_town,17.41,17.43,Clouds,broken clouds,85,1018,4.47
chicago,13.85,12.62,Clouds,few clouds,51,1014,7.72
ciudad_de_mexico,26.46,26.46,Clear,clear sky,18,1011,4.12
cologne,12.34,10.86,Clear,clear sky,47,1002,3.6
copenhagen,6.36,4.08,Clouds,overcast clouds,76,1008,3.09
dallas,8.47,5.24,Clouds,overcast clouds,90,1021,6.17
delhi,21.07,20.59,Haze,haze,52,1014,2.06
denver,18.21,16.48,Clear,clear sky,15,1016,0.89
detroit,12.52,10.9,Clear,clear sky,41,1012,7.2
dubai,26.01,26.01,Clear,clear sky,53,1013,4.12
dublin,8.89,7.46,Clouds,broken clouds,80,1004,2.57
durban,25.45,26.27,Clear,clear sky,85,1010,5.86
edmonton,1.15,1.15,Snow,snow,93,1005,0.89
frankfurt,11.35,10.11,Clear,clear sky,60,1002,0.51
fukuoka,3.86,3.86,Clouds,overcast clouds,87,1028,1.03
glasgow,8.73,7.66,Clouds,few clouds,86,1006,2.06
guadalajara,28.88,27.27,Clear,clear sky,13,1011,0.0
guangzhou,16.92,16.26,Clouds,overcast clouds,61,1021,0.24
guatemala_city,25.93,25.21,Clouds,few clouds,24,1012,6.17
hamburg,7.71,6.47,Clear,clear sky,69,1005,2.06
honolulu,24.34,24.63,Rain,light rain,69,1023,4.63
houston,13.53,12.69,Clouds,overcast clouds,67,1018,7.72
istanbul,7.72,7.72,Mist,mist,93,1016,1.03
jakarta,25.27,26.31,Clouds,few clouds,94,1010,0.0
johannesburg,16.72,16.48,Clouds,few clouds,78,1015,1.26
kingston,29.9,33.88,Clouds,few clouds,66,1015,5.66
kuala_lumpur,26.19,26.19,Clouds,broken clouds,92,1010,1.34
kyiv,9.08,7.8,Clouds,overcast clouds,48,1016,2.41
kyoto,1.19,-0.87,Clear,clear sky,88,1030,1.84
lagos,30.12,37.12,Clouds,few clouds,84,1008,2.57
lima,26.21,26.21,Clear,clear sky,61,1012,4.12
liverpool,12.76,11.71,Clear,clear sky,62,1003,4.47
london,12.41,11.4,Clear,clear sky,65,1002,3.09
los_angeles,21.5,20.44,Clear,clear sky,28,1023,2.57
lyon,10.92,10.47,Rain,light rain,92,1001,4.12
madrid,6.34,3.73,Rain,moderate rain,90,1001,3.6
manchester,12.92,11.91,Clouds,overcast clouds,63,1004,3.6
manila,25.19,26.01,Clouds,scattered clouds,86,1014,2.06
marseille,12.53,12.27,Rain,moderate rain,93,1003,2.57
medellin,26.22,26.22,Clouds,scattered clouds,65,1010,3.09
melbourne,23.5,23.71,Clear,clear sky,69,1016,8.75
miami,30.77,34.13,Clouds,scattered clouds,59,1014,5.66
milano,11.43,10.61,Clouds,broken clouds,76,1009,1.03
monterrey,21.41,20.34,Clear,clear sky,28,1020,2.48
