City,Temperature (°C),Feels Like (°C),Weather,Description,Humidity (%),Pressure (hPa),Wind Speed (m/s)
accra,26.46,26.46,Clouds,broken clouds,80,1011,2.33
almaty,18.85,17.47,Clear,clear sky,26,1013,1.2
auckland,20.04,20.58,Rain,moderate rain,95,1006,5.66
austin,20.62,20.85,Clouds,overcast clouds,81,1007,3.13
bangalore,29.21,30.48,Clouds,scattered clouds,54,1015,2.06
bangkok,35.41,42.08,Clouds,scattered clouds,51,1010,6.19
barcelona,15.25,14.42,Clouds,few clouds,61,1014,9.26
beijing,22.92,21.48,Clouds,broken clouds,8,1010,8.66
berlin,8.82,8.82,Clear,clear sky,81,1023,0.51
birmingham,6.94,5.57,Clouds,overcast clouds,90,1021,2.06
bogotá,12.99,12.96,Clouds,broken clouds,100,1017,1.54
bordeaux,10.21,9.4,Clear,clear sky,81,1011,1.03
brisbane,23.9,24.38,Rain,light intensity shower rain,78,1014,3.09
budapest,12.22,10.86,Rain,light rain,52,1020,3.09
buenos_aires,8.39,4.33,Clear,clear sky,76,1029,8.94
busan,13.91,12.58,Clear,clear sky,47,1019,7.2
calgary,-2.15,-4.67,Clouds,overcast clouds,69,1026,1.79
cape_town,19.02,18.99,Clear,clear sky,77,1014,3.13
chicago,5.66,4.65,Clouds,scattered clouds,81,1022,1.54
ciudad_de_mexico,19.99,19.01,Clear,clear sky,37,1013,2.06
cologne,8.83,8.83,Clear,clear sky,70,1022,0.51
copenhagen,8.47,6.96,Clouds,few clouds,77,1023,2.57
dallas,14.18,14.03,Clouds,overcast clouds,91,1010,4.63
delhi,34.07,31.67,Haze,haze,15,1012,1.54
denver,0.43,-2.42,Clouds,overcast clouds,93,1014,2.41
detroit,7.42,5.35,Clouds,scattered clouds,73,1021,3.09
dubai,33.01,30.66,Clear,clear sky,14,1012,2.57
dublin,10.07,9.43,Clouds,broken clouds,88,1019,5.14
durban,22.45,22.94,Clouds,overcast clouds,84,1021,4.4
edmonton,-5.46,-8.49,Clouds,broken clouds,66,1026,1.79
frankfurt,9.8,8.91,Clear,clear sky,68,1022,2.06
fukuoka,15.86,14.65,Clouds,few clouds,44,1019,6.17
glasgow,6.09,2.02,Clouds,few clouds,88,1027,6.69
guadalajara,17.88,16.74,Clouds,few clouds,39,1015,3.6
guangzhou,23.92,23.46,Clouds,few clouds,42,1014,5.2
guatemala_city,17.56,17.98,Clouds,scattered clouds,100,1015,1.79
hamburg,4.97,3.86,Clear,clear sky,87,1024,1.54
honolulu,24.42,25.01,Clouds,broken clouds,80,1017,3.09
houston,24.78,25.66,Mist,mist,90,1008,7.72
istanbul,11.2,10.1,Clear,clear sky,66,1017,3.09
jakarta,32.26,38.01,Clouds,scattered clouds,61,1008,4.12
johannesburg,13.94,13.92,Rain,light rain,97,1022,1.54
kingston,26.9,28.31,Clouds,few clouds,65,1017,4.63
kuala_lumpur,31.79,36.02,Clouds,few clouds,58,1010,3.09
kyiv,11.12,10.09,Clear,clear sky,69,1018,2.06
kyoto,12.84,11.56,Clouds,few clouds,53,1018,3.58
lagos,27.9,31.28,Clouds,broken clouds,76,1011,3.07
lima,20.21,20.45,Clear,clear sky,83,1013,4.63
liverpool,8.65,5.59,Clear,clear sky,78,1021,5.81
london,9.3,8.56,Clouds,overcast clouds,82,1019,1.79
los_angeles,11.03,10.33,Clear,clear sky,82,1015,2.06
lyon,11.24,10.53,Clear,clear sky,81,1017,1.54
madrid,10.36,9.85,Clouds,broken clouds,92,1009,3.09
