City,Temperature (°C),Feels Like (°C),Weather,Description,Humidity (%),Pressure (hPa),Wind Speed (m/s)
accra,27.05,30.77,Clear,clear sky,89,1010,2.06
almaty,9.85,9.85,Clouds,overcast clouds,47,1016,1.31
auckland,23.87,24.19,Clouds,few clouds,72,1019,5.14
austin,22.35,22.42,Clear,clear sky,68,1013,7.2
bangalore,21.29,21.77,Mist,mist,88,1016,1.03
bangkok,30.79,31.56,Clear,clear sky,46,1015,1.37
barcelona,11.46,10.46,Drizzle,light intensity drizzle,69,1005,2.57
beijing,23.92,22.58,Clouds,broken clouds,8,1007,2.13
berlin,7.76,4.82,Clear,clear sky,58,1009,4.92
birmingham,9.43,8.96,Clouds,scattered clouds,96,1001,1.54
bogotá,11.99,11.23,Clouds,broken clouds,76,1019,3.09
bordeaux,9.21,6.36,Clouds,broken clouds,93,1004,5.66
brisbane,27.64,30.34,Clouds,broken clouds,73,1016,2.06
budapest,8.39,5.52,Clouds,broken clouds,91,1012,5.14
buenos_aires,21.08,21.46,Rain,light rain,85,1013,4.47
busan,18.9,17.63,Clear,clear sky,30,1012,0.51
calgary,4.03,0.05,Clouds,broken clouds,38,1011,5.14
cape_town,17.08,17.22,Rain,moderate rain,91,1011,5.14
chicago,1.0,-2.38,Clouds,broken clouds,79,1021,3.09
ciudad_de_mexico,18.98,17.82,Rain,light rain,34,1019,5.14
cologne,11.18,10.7,Rain,shower rain,90,1002,1.54
copenhagen,6.56,2.13,Clouds,broken clouds,69,1015,8.23
dallas,23.38,23.13,Clear,clear sky,52,1010,6.17
delhi,19.07,18.68,Haze,haze,63,1015,0.0
denver,10.31,8.41,Clear,clear sky,39,1004,1.79
detroit,0.89,-0.8,Clear,clear sky,61,1020,1.54
dubai,28.01,26.75,Clear,clear sky,20,1013,5.66
dublin,6.39,2.6,Clouds,broken clouds,87,1007,6.17
durban,22.45,23.13,Clouds,few clouds,91,1011,4.2
edmonton,3.16,0.26,Clouds,few clouds,48,1010,3.04
frankfurt,11.02,9.98,Clouds,few clouds,69,1003,3.09
fukuoka,20.86,20.2,Clear,clear sky,46,1015,3.09
glasgow,8.76,8.76,Drizzle,light intensity drizzle,94,1005,1.03
guadalajara,24.88,23.76,Clouds,few clouds,13,1012,5.66
guangzhou,23.93,23.11,Clear,clear sky,28,1019,2.75
guatemala_city,17.28,15.87,Clear,clear sky,31,1016,8.23
hamburg,6.4,3.26,Clear,clear sky,67,1007,4.63
honolulu,27.1,28.77,Clouds,few clouds,67,1016,5.66
houston,21.02,21.24,Clouds,overcast clouds,79,1016,6.17
istanbul,5.94,5.94,Clear,clear sky,75,1023,0.51
jakarta,29.67,34.7,Clouds,scattered clouds,72,1012,3.09
johannesburg,16.6,16.48,Clouds,broken clouds,83,1015,1.13
kingston,27.9,30.35,Clouds,few clouds,69,1018,2.57
kuala_lumpur,27.73,31.16,Clouds,few clouds,78,1014,2.06
kyiv,5.19,3.43,Clouds,overcast clouds,86,1025,2.16
kyoto,19.5,18.6,Clear,clear sky,42,1011,0.89
lagos,24.12,24.89,Thunderstorm,thunderstorm,88,1009,1.03
lima,21.21,21.42,Clear,clear sky,78,1012,6.17
liverpool,8.99,6.96,Rain,moderate rain,94,1001,3.6
london,9.55,9.55,Clouds,scattered clouds,90,999,0.89
los_angeles,16.52,16.0,Clear,clear sky,68,1013,2.57
lyon,7.83,6.61,Rain,light rain,94,1005,2.06
madrid,4.9,0.5,Clouds,scattered clouds,84,1009,6.69
manchester,10.01,9.42,Drizzle,drizzle rain,90,1001,3.6
