City,Temperature (°C),Feels Like (°C),Weather,Description,Humidity (%),Pressure (hPa),Wind Speed (m/s)
accra,27.05,31.32,Mist,mist,94,1012,2.57
almaty,-3.15,-3.15,Clouds,overcast clouds,88,1025,0.93
auckland,18.88,18.13,Clear,clear sky,50,1021,4.63
austin,16.86,16.82,Clear,clear sky,85,1015,0.0
bangalore,29.14,28.12,Clouds,few clouds,32,1012,4.63
bangkok,35.38,39.64,Clouds,overcast clouds,45,1009,2.05
barcelona,9.41,9.15,Clouds,overcast clouds,71,1021,1.34
beijing,13.92,11.86,Clear,clear sky,19,1012,1.35
berlin,5.92,3.22,Clouds,broken clouds,90,1017,3.6
birmingham,2.84,0.79,Clouds,few clouds,92,1019,2.06
bogotá,13.99,13.9,Clouds,scattered clouds,94,1017,1.03
bordeaux,8.21,6.31,Clouds,overcast clouds,100,1021,3.09
brisbane,26.84,27.75,Clouds,few clouds,58,1016,4.63
budapest,6.52,4.92,Mist,mist,91,1019,2.24
buenos_aires,22.66,23.07,Rain,light rain,80,1015,7.2
busan,10.91,8.79,Clear,clear sky,28,1021,5.14
calgary,3.59,0.74,Clouds,broken clouds,56,1017,3.09
cape_town,22.55,22.61,Clear,clear sky,67,1012,3.6
chicago,2.85,0.19,Clouds,overcast clouds,93,1011,2.68
ciudad_de_mexico,17.81,16.95,Clouds,few clouds,50,1014,2.06
cologne,5.46,2.99,Clouds,scattered clouds,90,1016,3.09
copenhagen,3.67,3.67,Mist,mist,99,1016,1.03
dallas,14.94,13.93,Thunderstorm,thunderstorm,55,1019,6.69
delhi,23.07,22.71,Haze,haze,49,1014,3.6
denver,0.33,-1.12,Clear,clear sky,50,1028,1.34
detroit,1.5,-1.77,Mist,mist,97,1006,3.09
dubai,22.01,21.83,Clouds,few clouds,60,1019,7.72
dublin,2.77,-0.96,Clouds,few clouds,89,1023,4.12
durban,26.45,26.45,Clear,clear sky,65,1014,2.0
edmonton,4.34,2.83,Clouds,overcast clouds,67,1012,1.79
frankfurt,4.34,1.65,Clouds,broken clouds,94,1017,3.09
fukuoka,11.96,10.33,Rain,moderate rain,43,1021,1.54
glasgow,0.08,0.08,Clouds,few clouds,90,1020,1.02
guadalajara,16.88,16.16,Clear,clear sky,59,1016,0.0
guangzhou,22.92,22.42,Clear,clear sky,44,1015,1.94
guatemala_city,17.96,18.11,Clouds,broken clouds,88,1016,3.09
hamburg,3.97,0.52,Drizzle,light intensity drizzle rain,90,1014,4.12
honolulu,23.97,24.43,Clouds,few clouds,77,1019,3.09
houston,16.8,16.86,Mist,mist,89,1015,4.12
istanbul,7.61,5.28,Clouds,broken clouds,76,1023,3.6
jakarta,31.44,37.23,Clouds,scattered clouds,65,1008,6.17
johannesburg,20.18,20.47,Clear,clear sky,85,1014,0.89
kingston,24.9,25.48,Clouds,few clouds,78,1014,2.57
kuala_lumpur,32.86,37.5,Clouds,scattered clouds,55,1009,2.57
kyiv,-0.92,-0.92,Clouds,few clouds,76,1027,0.45
kyoto,12.84,11.38,Clear,clear sky,46,1022,1.34
lagos,26.12,26.12,Haze,haze,94,1012,1.54
lima,21.21,21.68,Clouds,broken clouds,88,1011,1.54
liverpool,3.56,0.71,Clear,clear sky,90,1020,3.09
london,5.23,1.8,Clouds,broken clouds,87,1018,4.63
los_angeles,18.95,17.68,Clear,clear sky,30,1016,0.45
lyon,5.14,5.14,Clouds,overcast clouds,89,1022,1.03
madrid,5.73,4.16,Clear,clear sky,73,1020,2.06
manchester,1.93,0.39,Clear,clear sky,86,1019,1.54
manila,29.94,33.12,Clouds,scattered clouds,62,1012,5.14
marseille,6.42,4.15,Clear,clear sky,71,1019,3.09
medellin,19.23,19.72,Clouds,broken clouds,96,1014,1.79
melbourne,23.51,23.74,Clear,clear sky,70,1013,5.66
miami,21.04,21.37,Clouds,few clouds,83,1016,0.0
milano,5.99,5.99,Rain,light rain,97,1018,0.45
monterrey,18.66,18.49,Clouds,overcast clouds,73,1011,0.21
montreal,-5.05,-8.43,Clear,clear sky,77,1014,2.06
mumbai,35.0,33.91,Smoke,smoke,26,1012,3.09
munich,2.55,2.55,Clouds,scattered clouds,89,1020,0.45
nagoya,15.01,13.43,Clouds,few clouds,33,1022,0.45
naha,21.76,21.64,Clouds,broken clouds,63,1020,6.69
nairobi,26.51,26.51,Clear,clear sky,22,1016,5.9
napoli,9.52,8.58,Clouds,scattered clouds,83,1015,2.06
nashville,15.16,14.9,Clouds,overcast clouds,83,1013,4.15
new_york,7.24,4.83,Clouds,overcast clouds,68,1013,3.6
osaka,12.35,10.66,Clear,clear sky,39,1023,3.09
ottawa,-4.44,-7.71,Clouds,few clouds,90,1012,2.06
paris,3.96,1.61,Clear,clear sky,93,1020,2.57
philadelphia,8.25,5.79,Clouds,overcast clouds,68,1011,4.12
phoenix,21.64,20.15,Clear,clear sky,11,1015,2.24
prague,5.33,1.45,Clouds,overcast clouds,85,1019,5.66
quebec_city,-8.68,-8.68,Clouds,few clouds,79,1016,1.03
rio_de_janeiro,25.69,26.48,Clear,clear sky,83,1015,2.06
riyadh,12.92,10.71,Clouds,overcast clouds,17,1021,5.22
rome,9.26,8.76,Clear,clear sky,78,1017,1.54
san_diego,13.91,13.45,Mist,mist,80,1015,1.54
san_francisco,13.68,12.85,Clear,clear sky,67,1018,2.57
san_jose,11.29,10.2,Clear,clear sky,66,1018,2.06
san_juan,23.29,24.05,Clear,clear sky,91,1015,0.0
santiago,17.92,17.18,Clear,clear sky,54,1010,0.45
santo_domingo,22.81,23.37,Clouds,scattered clouds,85,1015,2.3
sao_paulo,22.21,22.68,Clear,clear sky,84,1016,0.0
sapporo,1.83,-0.92,Clouds,scattered clouds,63,1017,2.57
seattle,7.42,5.71,Clear,clear sky,80,1021,2.57
sendai,10.64,8.33,Clouds,few clouds,22,1022,6.69
seoul,12.76,10.43,Clear,clear sky,13,1020,4.12
shanghai,14.88,14.17,Haze,haze,67,1016,3.0
sydney,26.59,26.59,Clear,clear sky,68,1015,11.83
taipei,21.25,20.71,Haze,haze,49,1018,1.54
tel_aviv,15.36,14.26,Clear,clear sky,50,1025,3.69
tokyo,13.92,12.23,Clouds,few clouds,33,1020,4.63
toronto,2.41,-2.23,Clouds,overcast clouds,79,1008,5.66
vancouver,7.54,4.45,Clouds,few clouds,78,1019,5.14
vienna,6.25,2.38,Drizzle,light intensity drizzle,81,1020,6.26
warsaw,5.6,5.6,Mist,mist,86,1018,1.03
washington_dc,8.21,6.65,Clouds,overcast clouds,73,1009,2.57
winnipeg,0.15,-5.09,Clouds,broken clouds,75,1015,5.66
zurich,2.7,0.11,Rain,moderate rain,87,1021,2.57
