filename,tempo,energy,brightness,key,scale,dissonance,entropy,danceability,chord_strength,bpm
Little_Things_Ella_Mai,135.90486145,0.983491420746,1038.47814941,"{'strength': 0.658608436584, 'key': 'C#', 'scale': 'minor'}",,0.417465686798,7.22047042847,1.32971894741,0.429859280586,135.90486145
Loco_Neton_Vega,178.205871582,0.970368206501,1079.90991211,"{'strength': 0.77891254425, 'key': 'A', 'scale': 'major'}",,0.44968688488,7.60352039337,1.33570623398,0.591675937176,178.205871582
lodowisko_Kuqe_2115,116.203155518,0.977392137051,807.255432129,"{'strength': 0.742835223675, 'key': 'Eb', 'scale': 'minor'}",,0.435134589672,7.32762718201,1.2129856348,0.472511202097,116.203155518
Long_Distance_G.E.M.,96.0406951904,0.983898162842,1592.98095703,"{'strength': 0.735384464264, 'key': 'Bb', 'scale': 'minor'}",,0.457772165537,7.70984458923,1.81564509869,0.652437031269,96.0406951904
Lord_I'm_Amazed_Black_Sherif,108.040107727,0.952860891819,749.065246582,"{'strength': 0.77394682169, 'key': 'C', 'scale': 'major'}",,0.430618941784,7.07878684998,1.4402718544,0.547869563103,108.040107727
Lose_Control_Teddy_Swims,128.112609863,0.969301342964,1127.6583252,"{'strength': 0.504777669907, 'key': 'E', 'scale': 'major'}",,0.453332901001,7.54679632187,2.02366399765,0.503462076187,128.112609863
Louder_(feat._Ayo_Maff_&_Bella_Shmurda)_Blaqbonez,115.230827332,0.960820555687,1371.22741699,"{'strength': 0.671042621136, 'key': 'A', 'scale': 'minor'}",,0.464612066746,7.97439622879,1.69191658497,0.51960849762,115.230827332
LoveHate_Thing_(feat._Sam_Dew)_Wale,131.52104187,0.983968675137,1629.52124023,"{'strength': 0.599421799183, 'key': 'E', 'scale': 'major'}",,0.465946167707,8.02180099487,1.4049397707,0.447957247496,131.52104187
Lover_Diljit_Dosanjh,119.929634094,0.985599517822,1400.99987793,"{'strength': 0.682316601276, 'key': 'A', 'scale': 'minor'}",,0.455111414194,7.50637578964,1.83396399021,0.500660538673,119.929634094
Love_Hangover_JENNIE,107.814468384,0.911706387997,1423.68432617,"{'strength': 0.511805593967, 'key': 'A', 'scale': 'major'}",,0.456698745489,7.68755674362,1.16505634785,0.486757159233,107.814468384
