City,Temperature (°C),Feels Like (°C),Weather,Description,Humidity (%),Pressure (hPa),Wind Speed (m/s)
accra,26.05,26.05,Mist,mist,94,1012,4.63
almaty,7.85,7.06,Clouds,broken clouds,83,1012,1.62
auckland,21.28,21.24,Clouds,overcast clouds,68,1021,3.6
austin,12.56,11.93,Clear,clear sky,79,1015,1.54
bangalore,28.77,27.99,Clouds,few clouds,35,1015,5.14
bangkok,28.95,33.37,Clouds,overcast clouds,74,1016,3.19
barcelona,13.09,12.15,Clear,clear sky,65,1019,3.13
beijing,10.92,8.35,Clear,clear sky,11,1025,5.68
berlin,8.31,6.13,Mist,mist,92,1015,3.6
birmingham,4.18,2.35,Clear,clear sky,93,1012,2.06
bogotá,11.99,11.7,Clouds,few clouds,94,1015,2.57
bordeaux,10.21,9.71,Clouds,broken clouds,93,1019,6.69
brisbane,27.42,28.99,Clouds,scattered clouds,64,1019,5.36
budapest,1.65,0.38,Mist,mist,78,1024,1.34
buenos_aires,23.14,23.83,Clear,clear sky,89,1010,1.79
busan,7.91,4.71,Clear,clear sky,23,1024,5.66
calgary,3.08,0.56,Clouds,broken clouds,48,1002,2.57
cape_town,21.99,21.92,Clear,clear sky,64,1017,7.15
chicago,6.46,4.79,Clouds,overcast clouds,92,1007,2.31
ciudad_de_mexico,14.97,13.33,Clear,clear sky,31,1017,1.54
cologne,6.18,4.68,Clear,clear sky,90,1015,2.06
copenhagen,6.36,3.21,Mist,mist,97,1012,4.63
dallas,11.45,10.82,Clear,clear sky,83,1014,3.09
delhi,26.07,26.07,Haze,haze,36,1018,2.06
denver,7.95,7.0,Clear,clear sky,41,1017,1.79
detroit,3.88,0.73,Clouds,overcast clouds,88,1007,3.6
dubai,23.01,22.75,Rain,light rain,53,1017,8.23
dublin,5.26,0.78,Clouds,broken clouds,83,1011,7.2
durban,27.45,30.07,Clouds,broken clouds,74,1012,7.08
edmonton,-4.24,-7.62,Clear,clear sky,83,1003,2.16
frankfurt,7.8,7.8,Fog,fog,97,1016,1.03
fukuoka,10.86,9.31,Clouds,broken clouds,50,1026,6.17
glasgow,5.71,1.54,Clouds,broken clouds,86,1005,6.69
guadalajara,10.88,9.07,Clear,clear sky,40,1016,0.0
guangzhou,15.92,14.85,Clouds,overcast clouds,49,1024,1.67
guatemala_city,14.78,14.92,Clouds,scattered clouds,100,1017,0.45
hamburg,8.97,6.68,Clouds,overcast clouds,91,1014,4.12
honolulu,23.12,23.47,Clouds,few clouds,76,1020,2.57
houston,11.09,10.71,Fog,fog,94,1016,4.12
istanbul,4.27,0.61,Clear,clear sky,56,1026,4.63
jakarta,31.62,37.38,Thunderstorm,thunderstorm,64,1009,4.63
johannesburg,23.69,23.94,Clouds,overcast clouds,70,1013,0.45
kingston,25.9,26.35,Clouds,few clouds,69,1013,5.66
kuala_lumpur,30.62,34.52,Clouds,few clouds,62,1010,3.6
kyiv,-4.68,-6.92,Clear,clear sky,73,1027,1.41
kyoto,10.62,8.91,Clear,clear sky,45,1025,2.68
lagos,27.12,31.54,Clouds,few clouds,94,1012,1.03
lima,23.34,23.92,Clouds,overcast clouds,84,1011,1.78
liverpool,3.49,2.17,Clouds,scattered clouds,87,1011,1.54
london,7.29,5.56,Clouds,broken clouds,93,1012,2.57
los_angeles,15.98,15.44,Clear,clear sky,69,1016,2.57
lyon,9.8,7.29,Rain,moderate rain,90,1016,5.14
