City,Temperature (°C),Feels Like (°C),Weather,Description,Humidity (%),Pressure (hPa),Wind Speed (m/s)
accra,29.05,35.79,Clouds,few clouds,84,1007,7.72
almaty,-5.15,-7.67,Clouds,overcast clouds,77,1032,1.52
auckland,17.19,17.16,Clouds,few clouds,84,1018,2.57
austin,25.15,25.52,Clouds,broken clouds,69,1010,6.69
bangalore,23.4,23.52,Clouds,few clouds,66,1012,2.06
bangkok,27.95,31.82,Clouds,overcast clouds,79,1007,5.19
barcelona,13.16,12.44,Clouds,broken clouds,73,1022,9.77
beijing,3.92,1.37,Clouds,overcast clouds,31,1026,2.79
berlin,4.14,1.82,Clear,clear sky,68,1028,2.57
birmingham,6.32,6.32,Clear,clear sky,80,1028,0.45
bogotá,14.99,14.69,Clouds,broken clouds,82,1012,5.66
bordeaux,13.21,12.21,Clear,clear sky,62,1022,1.54
brisbane,22.21,22.6,Clouds,few clouds,81,1011,4.63
budapest,6.56,6.56,Clear,clear sky,66,1028,0.45
buenos_aires,23.24,24.02,Rain,moderate rain,92,1012,1.54
busan,1.91,-2.6,Clouds,overcast clouds,87,1021,5.14
calgary,0.35,-4.26,Snow,snow,91,1019,4.63
cape_town,19.71,20.16,Clouds,scattered clouds,93,1010,3.09
chicago,4.94,1.2,Clouds,overcast clouds,50,1018,5.14
ciudad_de_mexico,24.95,24.31,Clouds,few clouds,31,1013,2.24
cologne,6.17,6.17,Clear,clear sky,65,1028,1.03
copenhagen,7.12,3.01,Clouds,broken clouds,84,1022,7.72
dallas,16.9,16.79,Clouds,overcast clouds,82,1011,6.17
delhi,21.07,20.69,Haze,haze,56,1009,2.57
denver,17.16,15.3,Clear,clear sky,14,994,2.68
detroit,3.41,-1.41,Clouds,broken clouds,53,1021,6.69
dubai,21.01,20.45,Clear,clear sky,49,1018,2.57
dublin,10.35,9.35,Clouds,broken clouds,73,1027,2.57
durban,24.45,25.17,Clouds,overcast clouds,85,1015,5.05
edmonton,1.26,-2.46,Clouds,broken clouds,69,1021,3.6
frankfurt,7.03,5.25,Clear,clear sky,58,1029,2.57
fukuoka,6.86,3.83,Rain,light rain,87,1016,4.63
glasgow,8.56,6.17,Clouds,broken clouds,92,1024,4.12
guadalajara,31.58,29.41,Clouds,few clouds,13,1012,2.51
guangzhou,21.92,22.2,Clouds,scattered clouds,78,1010,2.33
guatemala_city,26.47,26.47,Clouds,few clouds,26,1012,3.09
hamburg,6.22,4.73,Clouds,few clouds,72,1028,2.06
honolulu,24.29,24.65,Clouds,few clouds,72,1024,5.14
houston,25.04,25.61,Haze,haze,77,1012,9.26
istanbul,4.27,-1.01,Clouds,broken clouds,70,1027,8.75
jakarta,24.51,25.6,Rain,moderate rain,99,1008,2.0
johannesburg,18.06,18.38,Rain,light rain,94,1017,1.69
kingston,28.9,33.25,Rain,light rain,74,1013,4.12
kuala_lumpur,26.52,26.52,Clouds,few clouds,88,1008,0.0
kyiv,4.08,4.08,Clouds,overcast clouds,86,1020,0.89
kyoto,2.22,0.15,Rain,moderate rain,91,1023,1.98
lagos,30.12,37.12,Clouds,scattered clouds,79,1007,6.69
