City,Temperature (°C),Feels Like (°C),Weather,Description,Humidity (%),Pressure (hPa),Wind Speed (m/s)
accra,29.24,33.87,Clouds,overcast clouds,73,1011,6.05
almaty,3.85,0.92,Clear,clear sky,32,1028,3.28
auckland,18.33,18.52,Drizzle,light intensity drizzle,88,1018,2.06
austin,24.12,23.32,Clear,clear sky,28,1019,2.57
bangalore,24.76,25.12,Clear,clear sky,70,1013,3.09
bangkok,30.82,36.55,Clouds,scattered clouds,68,1009,5.33
barcelona,9.75,8.16,Clouds,overcast clouds,67,1016,3.09
beijing,-2.08,-4.71,Clouds,broken clouds,21,1019,1.88
berlin,7.63,4.48,Clouds,overcast clouds,60,1018,5.36
birmingham,7.27,5.17,Clouds,broken clouds,73,1027,3.09
bogotá,17.2,16.54,Clouds,broken clouds,60,1014,2.57
bordeaux,7.21,5.89,Clouds,broken clouds,76,1018,2.06
brisbane,19.37,19.82,Clear,clear sky,94,1013,0.45
budapest,6.84,4.94,Rain,light rain,88,1013,2.68
buenos_aires,23.92,23.93,Clouds,broken clouds,60,1020,8.05
busan,1.34,-5.24,Clear,clear sky,43,1011,9.93
calgary,-7.5,-10.85,Clouds,overcast clouds,92,1003,1.79
cape_town,21.3,21.37,Clouds,overcast clouds,72,1019,2.24
chicago,-0.69,-3.55,Snow,light snow,91,1006,2.24
ciudad_de_mexico,22.75,21.55,Clear,clear sky,18,1015,0.45
cologne,7.58,5.55,Clear,clear sky,49,1021,3.09
copenhagen,4.72,-0.72,Clouds,broken clouds,50,1020,9.77
dallas,17.89,16.2,Clear,clear sky,18,1020,2.68
delhi,23.07,22.89,Haze,haze,56,1011,3.09
denver,11.9,9.69,Clear,clear sky,21,1009,3.13
detroit,11.55,10.77,Clouds,overcast clouds,77,999,8.23
dubai,25.01,25.26,Clear,clear sky,65,1015,4.12
dublin,8.49,5.64,Clouds,broken clouds,74,1029,5.14
durban,23.09,23.28,Clouds,overcast clouds,70,1020,7.96
edmonton,-8.42,-13.23,Clouds,broken clouds,71,1008,2.68
frankfurt,7.96,5.44,Clear,clear sky,54,1020,4.12
fukuoka,3.9,-2.22,Clouds,overcast clouds,52,1013,11.32
glasgow,8.68,6.58,Clouds,overcast clouds,69,1030,3.6
guadalajara,24.88,23.79,Clear,clear sky,14,1014,2.57
guangzhou,12.92,11.42,Clouds,broken clouds,44,1022,5.15
guatemala_city,27.22,26.23,Clear,clear sky,20,1013,6.17
hamburg,5.54,2.51,Clouds,overcast clouds,93,1020,4.02
honolulu,22.66,23.17,Clouds,few clouds,84,1017,1.54
houston,22.24,21.17,Clear,clear sky,25,1020,3.6
istanbul,19.27,18.43,Rain,light rain,45,1009,6.17
jakarta,27.34,29.96,Clouds,scattered clouds,75,1008,0.0
johannesburg,15.25,15.26,Rain,light rain,93,1020,1.7
kingston,30.45,35.12,Rain,light rain,66,1015,4.34
kuala_lumpur,25.45,26.37,Clouds,broken clouds,89,1009,1.38
kyiv,2.41,0.39,Clouds,broken clouds,63,1012,1.97
kyoto,5.59,3.49,Rain,light rain,89,1002,2.64
lagos,29.62,35.04,Clouds,broken clouds,74,1010,6.41
lima,25.21,25.38,Clear,clear sky,61,1013,4.63
liverpool,8.59,7.03,Clouds,broken clouds,73,1028,2.68
london,7.95,4.97,Clouds,broken clouds,60,1025,5.14
los_angeles,16.38,15.59,Clear,clear sky,58,1021,0.45
lyon,6.73,4.9,Clouds,overcast clouds,73,1019,2.57
madrid,8.47,6.33,Clouds,broken clouds,55,1016,3.6
manchester,8.24,5.78,Clouds,broken clouds,74,1028,4.12
manila,27.15,29.77,Clouds,few clouds,77,1010,2.06
marseille,9.75,7.04,Clear,clear sky,65,1017,5.66
medellin,22.81,22.79,Clouds,scattered clouds,63,1014,3.58
melbourne,12.28,11.6,Drizzle,drizzle,78,1020,6.69
miami,29.1,33.53,Clouds,scattered clouds,73,1016,8.75
milano,11.21,10.11,Clouds,scattered clouds,66,1014,4.02
monterrey,22.58,21.55,Clear,clear sky,25,1020,2.56
montreal,13.77,13.19,Clouds,overcast clouds,76,1005,9.26
mumbai,29.0,29.78,Smoke,smoke,51,1011,0.0
munich,3.5,3.5,Clouds,overcast clouds,91,1019,0.89
nagoya,7.76,6.68,Clouds,broken clouds,70,1000,1.9
naha,13.88,12.84,Clouds,overcast clouds,58,1019,14.4
nairobi,21.71,21.5,Rain,light rain,60,1015,4.63
napoli,12.79,11.9,Clouds,scattered clouds,68,1018,4.12
nashville,10.78,9.9,Clouds,overcast clouds,76,1010,6.17
new_york,14.97,14.74,Haze,haze,85,1013,9.77
