City,Temperature (°C),Feels Like (°C),Weather,Description,Humidity (%),Pressure (hPa),Wind Speed (m/s)
accra,27.22,30.56,Clouds,overcast clouds,83,1009,3.85
almaty,1.85,-1.67,Clouds,overcast clouds,82,1020,3.51
auckland,19.67,19.52,Clouds,few clouds,70,1016,7.2
austin,20.44,20.73,Clear,clear sky,84,1009,2.57
bangalore,29.34,29.27,Clouds,broken clouds,43,1011,1.03
bangkok,28.95,30.51,Clouds,overcast clouds,57,1010,4.35
barcelona,13.64,13.15,Clouds,broken clouds,80,1010,1.54
beijing,12.92,11.08,Clear,clear sky,31,1022,1.64
berlin,4.76,3.32,Clear,clear sky,71,1018,1.79
birmingham,7.07,5.72,Clear,clear sky,91,1009,2.06
bogotá,10.99,10.76,Clouds,scattered clouds,100,1019,1.03
bordeaux,12.21,11.63,Clear,clear sky,82,1004,5.66
brisbane,23.2,24.08,Rain,shower rain,96,1007,5.66
budapest,7.56,5.22,Clear,clear sky,56,1019,3.6
buenos_aires,18.7,19.08,Clouds,overcast clouds,94,1012,5.14
busan,9.91,7.84,Clear,clear sky,46,1025,4.12
calgary,6.1,2.65,Clouds,broken clouds,36,1011,5.14
cape_town,20.88,20.88,Clear,clear sky,71,1011,0.45
chicago,0.58,-0.83,Clouds,broken clouds,92,1013,1.34
ciudad_de_mexico,18.83,17.34,Clear,clear sky,22,1016,4.02
cologne,4.18,4.18,Clear,clear sky,82,1015,0.51
copenhagen,3.94,3.94,Clouds,overcast clouds,87,1018,0.51
dallas,17.33,16.92,Clouds,overcast clouds,69,1011,2.68
delhi,25.07,24.49,Haze,haze,33,1010,3.6
denver,-2.34,-2.34,Clouds,overcast clouds,83,1019,0.46
detroit,0.39,-4.21,Clouds,scattered clouds,90,1009,4.63
dubai,28.01,27.01,Clear,clear sky,28,1012,4.63
dublin,9.25,7.28,Mist,mist,94,1005,3.6
durban,24.45,25.12,Clouds,broken clouds,83,1017,2.68
edmonton,2.03,0.5,Clouds,overcast clouds,66,1008,1.54
frankfurt,1.97,-1.21,Rain,light rain,87,1016,3.09
fukuoka,10.86,9.31,Clouds,few clouds,50,1024,4.12
glasgow,9.69,9.25,Mist,mist,94,1008,1.54
guadalajara,14.11,12.57,Clear,clear sky,38,1019,1.58
guangzhou,14.92,13.64,Clouds,scattered clouds,45,1020,2.85
guatemala_city,17.46,17.72,Clouds,broken clouds,94,1018,3.13
hamburg,2.97,1.58,Clear,clear sky,87,1018,1.54
honolulu,23.31,23.58,Clouds,few clouds,72,1023,4.63
houston,20.7,21.23,Mist,mist,92,1010,4.63
istanbul,5.39,2.27,Clouds,broken clouds,87,1017,4.12
jakarta,33.11,39.8,Clouds,scattered clouds,60,1006,6.17
johannesburg,18.18,18.27,Clear,clear sky,85,1020,4.12
kingston,25.9,26.58,Clouds,few clouds,78,1016,0.51
kuala_lumpur,34.05,41.05,Clouds,few clouds,60,1008,1.54
kyiv,7.85,7.85,Clouds,broken clouds,69,1022,0.57
kyoto,10.62,8.99,Rain,moderate rain,48,1024,3.13
lagos,28.12,33.95,Clouds,scattered clouds,89,1009,2.06
lima,21.21,21.68,Clouds,few clouds,88,1013,5.66
liverpool,9.17,7.44,Clouds,broken clouds,86,1008,3.13
london,6.85,5.04,Clouds,broken clouds,80,1010,2.57
los_angeles,10.7,9.86,Clear,clear sky,78,1020,2.57
lyon,8.01,6.99,Clouds,broken clouds,87,1014,1.87
madrid,9.3,6.86,Clouds,broken clouds,88,1002,4.63
manchester,9.57,9.57,Clouds,broken clouds,79,1009,1.03
manila,27.0,30.63,Clouds,broken clouds,89,1010,4.63
marseille,12.53,11.51,Clear,clear sky,64,1014,4.63
