City,Temperature (°C),Feels Like (°C),Weather,Description,Humidity (%),Pressure (hPa),Wind Speed (m/s)
accra,25.05,25.91,Clouds,broken clouds,88,1011,2.06
almaty,4.85,4.85,Clouds,few clouds,85,1025,1.02
auckland,20.47,20.19,Clouds,few clouds,62,1021,6.17
austin,5.21,2.36,Mist,mist,89,1025,3.6
bangalore,29.3,28.48,Clear,clear sky,35,1015,5.85
bangkok,35.72,41.17,Clouds,broken clouds,47,1011,2.98
barcelona,11.76,10.98,Rain,light rain,76,1027,2.06
beijing,3.92,-0.17,Clear,clear sky,12,1038,5.32
berlin,7.45,5.36,Clear,clear sky,82,1025,3.13
birmingham,7.4,4.28,Clouds,broken clouds,95,1017,5.14
bogotá,11.99,11.86,Fog,fog,100,1018,1.54
bordeaux,4.21,2.99,Fog,fog,100,1030,1.54
brisbane,27.67,29.38,Clouds,broken clouds,64,1017,5.66
budapest,0.0,-2.53,Clouds,overcast clouds,61,1032,2.06
buenos_aires,25.27,25.78,Clear,clear sky,74,1012,6.17
busan,3.91,-0.56,Clouds,few clouds,20,1027,6.17
calgary,8.09,4.58,Clouds,broken clouds,50,996,6.69
cape_town,20.96,20.83,Clouds,few clouds,66,1016,3.6
chicago,-1.96,-1.96,Clouds,few clouds,73,1021,0.89
ciudad_de_mexico,14.47,13.98,Clear,clear sky,77,1019,2.57
cologne,8.21,6.31,Clouds,broken clouds,87,1029,3.09
copenhagen,6.07,3.4,Fog,fog,95,1021,3.6
dallas,5.92,5.92,Clouds,overcast clouds,60,1025,0.0
delhi,23.07,22.63,Haze,haze,46,1018,3.09
denver,2.14,2.14,Clouds,overcast clouds,59,1021,0.45
detroit,-3.97,-9.25,Clear,clear sky,68,1022,4.12
dubai,29.01,28.53,Clear,clear sky,39,1015,2.06
dublin,11.37,10.6,Rain,moderate rain,78,1002,18.01
durban,25.45,26.19,Clouds,overcast clouds,82,1013,4.62
edmonton,3.2,2.13,Clouds,overcast clouds,69,994,1.34
frankfurt,6.71,4.18,Clear,clear sky,90,1029,3.6
fukuoka,4.86,0.45,Clouds,broken clouds,48,1027,6.69
glasgow,9.59,6.21,Rain,moderate rain,81,1004,7.72
guadalajara,15.96,14.55,Clear,clear sky,36,1019,1.35
guangzhou,15.92,14.69,Clouds,broken clouds,43,1025,6.18
guatemala_city,14.96,14.97,Clouds,few clouds,94,1021,5.14
hamburg,8.49,6.09,Clouds,overcast clouds,87,1025,4.12
honolulu,24.48,24.89,Clouds,few clouds,73,1021,0.0
houston,6.39,2.6,Mist,mist,91,1023,6.17
istanbul,-0.06,-4.07,Clouds,broken clouds,80,1035,3.6
jakarta,30.74,36.07,Rain,light rain,67,1010,3.09
johannesburg,21.87,22.41,Clouds,broken clouds,88,1013,0.45
kingston,25.9,26.45,Clouds,few clouds,73,1017,1.03
kuala_lumpur,30.39,34.99,Clouds,few clouds,66,1011,1.54
kyiv,-4.25,-4.25,Clear,clear sky,69,1038,1.15
kyoto,4.51,3.61,Clouds,overcast clouds,70,1022,1.34
lagos,26.12,26.12,Clouds,few clouds,89,1010,1.03
lima,22.21,22.52,Clear,clear sky,78,1013,6.17
liverpool,8.33,4.58,Clear,clear sky,85,1013,7.72
london,8.52,6.68,Clouds,broken clouds,92,1022,3.09
los_angeles,15.54,14.46,Clear,clear sky,50,1023,1.54
lyon,7.38,7.38,Fog,fog,99,1030,0.0
madrid,3.99,3.99,Clear,clear sky,87,1029,1.03
manchester,8.15,5.67,Clouds,few clouds,83,1015,4.12
manila,30.12,34.14,Clouds,broken clouds,65,1014,5.66
marseille,12.53,12.03,Clouds,overcast clouds,84,1027,1.54
medellin,19.47,19.98,Clouds,broken clouds,96,1015,1.03
melbourne,25.7,25.58,Clear,clear sky,48,1011,6.69
miami,19.11,19.09,Clouds,few clouds,77,1022,1.54
milano,6.75,5.89,Mist,mist,92,1030,1.54
monterrey,6.99,5.86,Clear,clear sky,81,1024,1.82
montreal,-3.42,-9.88,Clouds,overcast clouds,89,1014,6.17
mumbai,35.0,33.05,Smoke,smoke,20,1015,3.09
munich,4.35,2.46,Clouds,overcast clouds,90,1030,2.15
nagoya,9.42,9.42,Clouds,broken clouds,40,1021,0.45
naha,14.92,14.61,Clouds,broken clouds,82,1025,6.17
nairobi,20.96,20.16,Clear,clear sky,40,1017,4.63
napoli,8.13,6.96,Clear,clear sky,86,1030,2.06
nashville,-2.56,-5.52,Clear,clear sky,74,1027,2.06
new_york,0.41,-4.19,Clear,clear sky,57,1021,4.63
osaka,7.54,4.45,Clouds,few clouds,37,1022,5.14
ottawa,-4.08,-9.77,Snow,snow,89,1014,4.63
paris,5.46,3.84,Mist,mist,97,1028,2.06
philadelphia,0.04,-4.65,Clouds,broken clouds,66,1022,4.63
phoenix,15.94,14.27,Clear,clear sky,26,1021,0.68
prague,0.8,-1.8,Clear,clear sky,75,1029,2.24
quebec_city,-5.6,-9.74,Snow,light snow,87,1013,2.57
rio_de_janeiro,25.69,26.48,Clear,clear sky,83,1015,2.57
riyadh,13.92,12.12,Clouds,scattered clouds,29,1017,5.78
rome,6.18,6.18,Clear,clear sky,70,1031,0.51
san_diego,13.68,12.91,Clouds,few clouds,69,1023,0.45
san_francisco,12.06,11.54,Clouds,broken clouds,85,1026,5.14
san_jose,12.61,11.75,Clouds,few clouds,70,1026,0.0
san_juan,21.73,22.44,Clouds,overcast clouds,95,1017,2.95
santiago,24.18,23.88,Clouds,overcast clouds,47,1012,0.64
santo_domingo,21.81,22.34,Clouds,few clouds,88,1017,3.87
sao_paulo,21.73,22.28,Clouds,broken clouds,89,1016,2.57
sapporo,-0.93,-5.85,Clouds,broken clouds,73,1016,4.63
seattle,10.73,10.31,Rain,moderate rain,94,1010,4.63
sendai,2.64,-2.18,Clouds,scattered clouds,52,1019,6.17
seoul,-0.24,-6.53,Clear,clear sky,29,1029,7.72
shanghai,5.95,2.52,Clouds,broken clouds,61,1035,5.0
sydney,25.33,25.62,Rain,moderate rain,65,1016,9.26
taipei,16.54,16.29,Drizzle,light intensity drizzle,78,1028,6.69
tel_aviv,9.01,8.48,Clouds,scattered clouds,76,1024,1.54
tokyo,8.73,6.15,Clouds,few clouds,21,1019,4.63
toronto,-2.11,-8.22,Clouds,overcast clouds,67,1018,6.17
vancouver,9.75,6.71,Clouds,overcast clouds,90,1007,6.69
vienna,-0.64,-3.28,Clouds,overcast clouds,70,1031,2.06
warsaw,-1.34,-5.51,Clear,clear sky,61,1029,3.46
washington_dc,-0.85,-2.79,Clear,clear sky,66,1023,1.54
winnipeg,-6.58,-9.34,Clouds,overcast clouds,77,1013,1.54
zurich,7.97,7.97,Clouds,overcast clouds,87,1030,0.89
