City,Temperature (°C),Feels Like (°C),Weather,Description,Humidity (%),Pressure (hPa),Wind Speed (m/s)
accra,28.74,33.06,Clouds,overcast clouds,75,1007,6.38
almaty,-2.15,-4.29,Clouds,overcast clouds,73,1030,1.55
auckland,12.45,11.79,Clear,clear sky,78,1019,3.6
austin,16.98,15.52,Clear,clear sky,30,1021,5.66
bangalore,25.49,25.24,Clouds,overcast clouds,44,1014,3.59
bangkok,27.95,30.7,Clouds,scattered clouds,71,1007,4.68
barcelona,14.22,13.55,Clouds,few clouds,71,1021,7.72
beijing,5.92,4.12,Clouds,scattered clouds,33,1033,2.35
berlin,11.01,9.29,Clear,clear sky,43,1023,3.09
birmingham,11.75,10.23,Clear,clear sky,48,1018,4.12
bogotá,18.99,18.72,Clouds,broken clouds,68,1013,5.14
bordeaux,17.21,16.0,Clear,clear sky,39,1019,5.66
brisbane,21.82,22.54,Clouds,overcast clouds,95,1005,5.66
budapest,12.23,10.79,Clear,clear sky,49,1028,1.03
buenos_aires,34.89,41.89,Clouds,few clouds,61,1009,0.45
busan,4.91,2.73,Clouds,broken clouds,70,1023,2.57
calgary,2.24,-1.61,Clouds,broken clouds,58,1016,4.12
cape_town,21.34,21.59,Clouds,few clouds,79,1012,7.72
chicago,10.85,9.9,Clouds,broken clouds,73,983,9.26
ciudad_de_mexico,22.81,22.01,Clear,clear sky,33,1015,1.79
cologne,13.44,12.09,Clear,clear sky,48,1023,1.78
copenhagen,9.04,5.36,Clouds,overcast clouds,61,1015,8.23
dallas,11.35,9.51,Clear,clear sky,37,1020,11.32
delhi,15.07,14.07,Haze,haze,55,1013,4.12
denver,6.7,5.56,Clouds,scattered clouds,45,1014,1.79
detroit,11.45,10.97,Clouds,overcast clouds,89,987,5.14
dubai,24.01,23.95,Clear,clear sky,57,1017,5.14
dublin,11.68,10.57,Clouds,scattered clouds,64,1013,8.75
durban,26.45,26.45,Clear,clear sky,88,1014,5.24
edmonton,-0.52,-5.34,Clouds,few clouds,71,1017,4.63
frankfurt,12.12,10.69,Clear,clear sky,50,1024,2.06
fukuoka,6.86,5.48,Rain,light rain,81,1021,2.06
glasgow,9.97,6.01,Clouds,overcast clouds,87,1009,10.8
guadalajara,23.88,22.74,Clouds,scattered clouds,16,1013,0.0
guangzhou,10.92,9.9,Clouds,overcast clouds,70,1019,5.74
guatemala_city,25.96,25.96,Clouds,few clouds,27,1012,2.06
hamburg,10.13,8.56,Clear,clear sky,52,1021,3.09
honolulu,23.57,23.94,Clouds,scattered clouds,75,1023,7.2
houston,16.9,15.72,Clear,clear sky,41,1020,6.69
istanbul,4.83,0.41,Clear,clear sky,61,1029,6.69
jakarta,26.69,29.54,Clouds,scattered clouds,86,1009,0.0
johannesburg,20.94,20.79,Clouds,overcast clouds,65,1015,1.28
