City,Temperature (°C),Feels Like (°C),Weather,Description,Humidity (%),Pressure (hPa),Wind Speed (m/s)
accra,29.05,35.79,Clouds,scattered clouds,84,1010,5.14
almaty,10.85,9.61,Clouds,overcast clouds,62,1018,2.13
auckland,21.87,22.02,Clouds,broken clouds,73,1009,6.71
austin,14.67,13.47,Clear,clear sky,49,1018,8.75
bangalore,22.79,23.45,Mist,mist,89,1011,1.03
bangkok,27.99,31.77,Clouds,scattered clouds,78,1012,3.72
barcelona,17.48,16.82,Clouds,few clouds,59,1012,2.57
beijing,11.92,9.66,Clouds,scattered clouds,19,1010,2.57
berlin,4.11,1.78,Clear,clear sky,54,1025,2.57
birmingham,5.25,2.74,Clear,clear sky,72,1027,3.09
bogotá,15.99,15.39,Clouds,broken clouds,67,1016,2.06
bordeaux,11.21,11.0,Fog,fog,100,1017,3.09
brisbane,24.75,25.06,Clear,clear sky,68,1019,2.06
budapest,-0.02,-1.51,Clouds,broken clouds,57,1020,1.34
buenos_aires,18.75,18.85,Clear,clear sky,83,1023,10.28
busan,9.91,9.91,Clear,clear sky,40,1019,0.51
calgary,18.77,17.72,Clouds,scattered clouds,39,1010,4.12
cape_town,21.25,21.23,Clouds,broken clouds,69,1010,1.34
chicago,6.16,2.96,Clouds,broken clouds,48,1016,4.63
ciudad_de_mexico,25.51,24.72,Dust,dust,23,1007,7.72
cologne,5.33,2.91,Clear,clear sky,47,1025,2.99
copenhagen,3.87,0.72,Clear,clear sky,77,1025,3.6
dallas,8.03,5.52,Clouds,overcast clouds,75,1019,4.12
delhi,23.07,22.82,Haze,haze,53,1007,1.54
denver,14.43,12.53,Clouds,broken clouds,23,1015,2.24
detroit,5.39,2.27,Clear,clear sky,58,1015,4.12
dubai,28.01,27.3,Clear,clear sky,34,1011,2.57
dublin,4.9,3.78,Clear,clear sky,83,1025,1.54
durban,21.45,21.71,Clouds,overcast clouds,79,1017,2.14
edmonton,18.97,17.63,Clouds,few clouds,27,1012,3.6
frankfurt,3.52,-0.03,Clear,clear sky,56,1025,4.12
fukuoka,12.86,11.61,Clear,clear sky,54,1020,3.09
glasgow,5.53,5.53,Clouds,few clouds,83,1027,1.03
guadalajara,27.62,26.32,Clear,clear sky,10,1006,5.74
guangzhou,17.92,17.36,Clouds,overcast clouds,61,1018,1.88
guatemala_city,20.07,20.38,Rain,light rain,86,1013,8.23
hamburg,0.05,0.05,Clear,clear sky,81,1027,1.03
honolulu,28.34,29.84,Rain,light rain,59,1022,10.29
houston,12.19,11.21,Clouds,broken clouds,67,1016,8.23
istanbul,5.44,1.19,Clouds,broken clouds,67,1011,6.69
jakarta,25.07,26.09,Mist,mist,94,1011,0.0
johannesburg,14.96,15.02,Clouds,overcast clouds,96,1019,0.0
kingston,27.64,29.87,Clear,clear sky,69,1014,1.62
kuala_lumpur,24.84,25.83,Clouds,few clouds,94,1012,1.03
kyiv,0.19,0.19,Clouds,overcast clouds,83,1006,0.45
