Date,Song Title,Artist,Album,Duration
2025-04-02,Amber,Dei V,Dei V,3:06
2025-04-02,Toa,Dei V,Dei V,3:49
2025-04-02,Lolly,Dei V,Dei V,2:39
2025-04-02,VeLDÁ,Bad Bunny,Bad Bunny,3:55
2025-04-02,WOAHH (feat. Clarent),Rvssian,Rvssian,4:19
2025-04-02,MUVI,Kendo Kaponi,Kendo Kaponi,6:32
2025-04-02,Q U E V A S H A C E R H O Y ?,Omar Courtz,Omar Courtz,3:44
2025-04-02,BAILE INoLVIDABLE,Bad Bunny,Bad Bunny,6:07
2025-04-02,G O D D E S S,Omar Courtz,Omar Courtz,2:35
2025-04-02,VOY A LLeVARTE PA PR,Bad Bunny,Bad Bunny,2:36
2025-04-02,ETA (feat. Yan Block & Omar Courtz) [RMX],ROA,ROA,7:42
2025-04-02,SERIO CON ESE Q,Omar Courtz,Omar Courtz,4:07
2025-04-02,Nota,Jay Wheeler,Jay Wheeler,4:35
2025-04-02,PPC,ROA,ROA,4:00
2025-04-02,FANTASÍA,ROA,ROA,3:06
2025-04-02,EX ASS,iZaak,iZaak,2:37
2025-04-02,Qué Pasaría...,Rauw Alejandro,Rauw Alejandro,3:11
2025-04-02,111,Yan Block,Yan Block,2:33
2025-04-02,Kyoto,Omar Courtz,Omar Courtz,4:07
2025-04-02,sobelove,Beéle,Beéle,2:11
2025-04-02,La Plena (W Sound 05),W Sound,W Sound,2:30
2025-04-02,Insegura,Midnvght,Midnvght,3:11
2025-04-02,Falsas Promesas,Midnvght,Midnvght,4:10
2025-04-02,Ja Morant,Hades66,Hades66,2:49
2025-04-02,ME GUSTAS CC,ROA,ROA,2:53
