City,Temperature (°C),Feels Like (°C),Weather,Description,Humidity (%),Pressure (hPa),Wind Speed (m/s)
accra,25.05,25.91,Clouds,few clouds,88,1009,2.57
almaty,13.85,12.47,Clear,clear sky,45,1018,2.5
auckland,17.27,17.38,Clouds,overcast clouds,89,1016,9.39
austin,24.87,25.58,Clouds,overcast clouds,83,1004,5.66
bangalore,29.81,31.4,Clouds,scattered clouds,54,1013,1.54
bangkok,34.67,40.28,Clouds,overcast clouds,51,1012,2.62
barcelona,12.28,11.52,Clouds,scattered clouds,75,1016,6.17
beijing,18.92,17.21,Clouds,broken clouds,13,1015,5.42
berlin,6.3,4.66,Clear,clear sky,67,1028,2.24
birmingham,4.77,2.16,Mist,mist,94,1021,3.09
bogotá,11.99,11.52,Clouds,scattered clouds,87,1018,2.06
bordeaux,12.21,11.47,Clear,clear sky,76,1010,5.66
brisbane,24.4,25.19,Drizzle,light intensity drizzle,88,1009,2.57
budapest,11.92,10.6,Clear,clear sky,55,1020,5.14
buenos_aires,16.94,16.54,Clouds,scattered clouds,71,1014,8.05
busan,12.71,11.11,Clouds,broken clouds,41,1019,3.6
calgary,-1.71,-3.77,Snow,light snow,85,1013,1.54
cape_town,19.09,18.7,Clear,clear sky,63,1016,3.6
chicago,14.47,13.72,Clouds,overcast clouds,67,1002,2.68
ciudad_de_mexico,20.5,19.1,Clouds,broken clouds,19,1012,1.79
cologne,11.17,9.99,Clear,clear sky,63,1023,4.12
copenhagen,8.41,8.41,Clear,clear sky,74,1030,0.0
dallas,20.08,20.08,Clouds,overcast clouds,74,1006,3.09
delhi,34.07,31.59,Haze,haze,13,1012,2.57
denver,2.14,0.29,Clouds,overcast clouds,52,1009,1.79
detroit,16.27,16.41,Clouds,overcast clouds,94,1002,14.92
dubai,30.01,28.62,Clear,clear sky,28,1012,2.57
dublin,8.02,6.83,Clouds,scattered clouds,86,1022,2.06
durban,20.45,20.8,Rain,light rain,86,1024,1.83
edmonton,-1.77,-7.34,Clouds,overcast clouds,82,1014,5.36
frankfurt,8.59,5.39,Clear,clear sky,71,1024,6.17
fukuoka,13.86,12.53,Clouds,scattered clouds,47,1018,8.75
glasgow,5.22,2.71,Clear,clear sky,83,1028,3.09
