City,Temperature (°C),Feels Like (°C),Weather,Description,Humidity (%),Pressure (hPa),Wind Speed (m/s)
accra,31.12,35.1,Clouds,overcast clouds,60,1011,6.05
almaty,15.85,14.54,Clear,clear sky,40,1021,2.89
auckland,15.92,15.71,Clear,clear sky,82,1020,3.6
austin,9.74,7.21,Clear,clear sky,44,1029,5.14
bangalore,27.94,27.82,Clouds,few clouds,43,1013,3.6
bangkok,30.1,29.92,Clouds,broken clouds,41,1015,4.6
barcelona,14.0,13.62,Mist,mist,83,1021,8.75
beijing,17.92,16.19,Clear,clear sky,16,1016,4.26
berlin,17.36,15.88,Clear,clear sky,28,1022,2.57
birmingham,17.74,17.06,Clouds,scattered clouds,57,1018,3.09
bogotá,15.31,14.85,Clouds,overcast clouds,75,1018,1.53
bordeaux,19.21,18.62,Clear,clear sky,55,1014,7.2
brisbane,20.94,21.6,Clouds,scattered clouds,96,1018,0.89
budapest,13.45,11.63,Clear,clear sky,30,1029,3.13
buenos_aires,27.37,28.15,Clear,clear sky,55,1019,3.2
busan,9.79,7.68,Clear,clear sky,56,1018,4.13
calgary,-0.32,-0.32,Clouds,overcast clouds,64,1003,0.45
cape_town,20.69,20.98,Rain,light rain,83,1016,2.68
chicago,-0.73,-7.16,Clouds,overcast clouds,92,1010,7.72
ciudad_de_mexico,11.61,10.13,Clouds,overcast clouds,50,1022,5.81
cologne,19.18,18.17,Clear,clear sky,39,1021,2.57
copenhagen,13.97,12.65,Clouds,scattered clouds,47,1020,3.3
dallas,8.27,5.82,Clear,clear sky,51,1028,4.12
delhi,28.07,27.06,Haze,haze,28,1012,2.57
denver,-0.81,-3.12,Clouds,broken clouds,35,1021,1.79
detroit,7.3,3.1,Rain,light rain,83,998,8.23
dubai,31.01,29.74,Clear,clear sky,30,1014,4.63
dublin,15.39,14.71,Clouds,broken clouds,66,1015,7.2
durban,25.81,26.54,Clear,clear sky,80,1016,7.67
edmonton,-4.64,-4.64,Clouds,overcast clouds,87,1006,0.89
frankfurt,18.6,17.4,Clear,clear sky,34,1023,3.09
fukuoka,8.9,6.85,Clouds,scattered clouds,71,1021,3.6
glasgow,14.48,13.16,Clouds,overcast clouds,45,1017,2.57
guadalajara,11.88,9.96,Clouds,few clouds,32,1018,0.0
guangzhou,19.92,18.57,Clear,clear sky,23,1023,3.31
guatemala_city,18.28,18.46,Clouds,scattered clouds,88,1018,6.17
hamburg,17.96,16.54,Clear,clear sky,28,1021,5.66
honolulu,23.31,23.71,Clouds,scattered clouds,77,1017,5.66
houston,11.15,9.5,Clear,clear sky,45,1028,6.69
istanbul,7.05,3.43,Clouds,broken clouds,61,1029,6.17
jakarta,27.54,31.11,Clouds,scattered clouds,81,1013,0.0
johannesburg,22.79,22.82,Clouds,overcast clouds,65,1018,0.45
kingston,27.67,28.69,Clear,clear sky,57,1017,0.72
kuala_lumpur,25.39,26.44,Clouds,overcast clouds,94,1015,0.79
kyiv,12.97,11.63,Clear,clear sky,50,1028,0.45
kyoto,3.4,3.4,Clear,clear sky,83,1019,0.45
lagos,30.44,34.14,Clouds,overcast clouds,62,1010,6.0
lima,20.21,20.45,Clear,clear sky,83,1013,2.06
liverpool,16.75,15.94,Clouds,few clouds,56,1018,4.63
london,19.46,18.77,Clouds,few clouds,50,1019,4.12
los_angeles,12.54,11.42,Clear,clear sky,60,1020,0.0
lyon,16.5,15.43,Clear,clear sky,47,1022,10.29
madrid,13.54,13.01,Clouds,broken clouds,79,1013,4.02
manchester,18.36,17.45,Haze,haze,46,1018,2.06
manila,26.27,26.27,Clouds,overcast clouds,79,1016,4.76
marseille,17.53,16.57,Clear,clear sky,47,1025,7.2
medellin,20.63,20.86,Clouds,overcast clouds,81,1016,2.24
melbourne,18.08,18.35,Clouds,overcast clouds,92,1014,4.12
miami,23.23,23.38,Rain,very heavy rain,68,1019,3.09
milano,15.48,14.21,Clear,clear sky,43,1029,1.54
monterrey,12.55,10.72,Clouds,scattered clouds,33,1030,1.5
montreal,12.37,10.94,Clear,clear sky,49,1002,14.4
mumbai,30.0,30.74,Smoke,smoke,48,1012,1.54
munich,18.16,16.92,Clouds,scattered clouds,34,1023,1.34
nagoya,7.2,6.39,Clear,clear sky,61,1019,1.56
naha,13.18,12.22,Clouds,broken clouds,64,1025,0.0
nairobi,24.29,23.98,Clouds,overcast clouds,46,1013,5.12
napoli,15.26,14.09,Clear,clear sky,48,1031,4.12
nashville,6.22,2.19,Rain,light rain,69,1013,6.69
new_york,6.9,4.13,Mist,mist,95,1012,4.12
osaka,6.14,3.85,Clouds,few clouds,37,1019,3.03
ottawa,14.35,12.88,Clouds,overcast clouds,40,999,0.45
paris,19.77,18.98,Clear,clear sky,45,1019,3.6
philadelphia,9.95,8.13,Clouds,broken clouds,88,1010,3.6
phoenix,11.1,9.0,Clouds,few clouds,28,1020,0.0
prague,14.14,12.5,Clear,clear sky,34,1024,3.09
quebec_city,5.95,1.39,Clear,clear sky,65,1005,8.05
rio_de_janeiro,23.35,24.12,Clouds,overcast clouds,91,1018,2.68
riyadh,31.92,30.24,Clear,clear sky,25,1011,2.66
rome,16.14,15.19,Clouds,few clouds,53,1030,4.12
san_diego,11.48,10.17,Clouds,few clouds,57,1020,0.0
san_francisco,7.37,5.29,Clouds,scattered clouds,86,1026,3.09
san_jose,9.33,7.38,Clouds,overcast clouds,83,1026,3.6
san_juan,26.59,26.59,Clear,clear sky,57,1018,3.09
santiago,21.66,21.32,Clear,clear sky,55,1015,1.54
santo_domingo,24.88,25.23,Clouds,few clouds,69,1018,3.6
sao_paulo,23.19,23.55,Clouds,broken clouds,76,1019,5.14
sapporo,1.82,-0.72,Clouds,broken clouds,69,1010,2.35
seattle,5.06,1.35,Clouds,broken clouds,88,1015,5.14
sendai,3.5,1.89,Clear,clear sky,62,1016,1.77
seoul,7.76,5.46,Haze,haze,76,1015,3.6
shanghai,12.95,11.61,Clear,clear sky,50,1022,4.0
sydney,21.65,21.96,Clear,clear sky,80,1015,2.57
taipei,14.12,13.21,Clear,clear sky,62,1026,4.12
tel_aviv,16.06,15.03,Rain,light rain,50,1016,9.77
tokyo,8.42,6.56,Clouds,broken clouds,70,1016,3.09
toronto,10.47,9.74,Clouds,overcast clouds,83,997,3.13
vancouver,5.01,1.39,Rain,light rain,88,1013,4.92
vienna,14.28,12.78,Clear,clear sky,39,1027,4.63
warsaw,13.71,11.95,Clear,clear sky,31,1025,3.6
washington_dc,14.23,12.99,Clear,clear sky,49,1006,3.13
winnipeg,-2.47,-4.28,Clouds,overcast clouds,80,1010,1.34
zurich,17.74,16.54,Clear,clear sky,37,1023,2.57
