City,Temperature (°C),Feels Like (°C),Weather,Description,Humidity (%),Pressure (hPa),Wind Speed (m/s)
accra,26.9,29.43,Clouds,scattered clouds,79,1010,2.06
almaty,-2.15,-2.15,Clouds,overcast clouds,95,1024,1.05
auckland,23.72,23.87,Clouds,broken clouds,66,1022,5.66
austin,11.9,10.71,Clouds,broken clouds,60,1023,1.73
bangalore,28.45,27.78,Clouds,scattered clouds,36,1015,5.14
bangkok,35.63,41.78,Clouds,few clouds,49,1011,3.91
barcelona,10.36,9.44,Clouds,scattered clouds,76,1019,3.09
beijing,16.59,14.62,Clear,clear sky,12,1015,0.94
berlin,2.19,-0.59,Mist,mist,94,1020,2.68
birmingham,1.34,-0.97,Fog,fog,96,1028,2.06
bogotá,10.99,10.76,Fog,fog,100,1016,1.79
bordeaux,4.21,1.14,Clear,clear sky,81,1022,3.6
brisbane,28.63,29.3,Clouds,few clouds,51,1013,4.63
budapest,4.83,0.82,Clouds,overcast clouds,90,1020,5.66
buenos_aires,25.18,26.03,Clouds,scattered clouds,87,1009,1.88
busan,14.76,13.62,Clear,clear sky,51,1019,3.4
calgary,3.14,1.14,Clouds,broken clouds,57,1018,2.06
cape_town,18.5,18.55,Clear,clear sky,82,1012,0.89
chicago,2.95,-0.4,Clouds,few clouds,74,1013,3.6
ciudad_de_mexico,14.97,14.17,Clear,clear sky,63,1017,2.57
cologne,4.08,4.08,Clouds,broken clouds,93,1022,0.51
copenhagen,3.96,2.09,Mist,mist,99,1021,2.06
dallas,12.2,10.7,Clear,clear sky,47,1023,2.06
delhi,22.07,22.0,Drizzle,light intensity drizzle,64,1015,5.14
denver,5.48,5.48,Clear,clear sky,31,1017,0.89
detroit,2.02,0.8,Clouds,overcast clouds,86,1010,1.34
dubai,22.01,21.55,Clear,clear sky,49,1019,6.17
dublin,1.56,-0.04,Clear,clear sky,87,1028,1.54
durban,22.8,23.17,Clouds,overcast clouds,78,1015,1.66
edmonton,3.23,-0.61,Clouds,overcast clouds,63,1016,4.51
frankfurt,3.54,3.54,Mist,mist,96,1020,1.03
fukuoka,12.13,11.54,Clouds,broken clouds,82,1021,1.03
glasgow,0.61,0.61,Clouds,overcast clouds,93,1027,1.03
guadalajara,19.88,19.1,Clear,clear sky,45,1015,1.03
guangzhou,22.92,22.42,Clouds,few clouds,44,1015,3.98
guatemala_city,17.96,18.11,Rain,light rain,88,1017,6.17
hamburg,3.97,0.52,Clouds,overcast clouds,91,1020,4.12
honolulu,24.45,25.07,Clear,clear sky,81,1019,2.24
houston,14.86,14.2,Clouds,broken clouds,69,1022,0.45
istanbul,6.5,4.62,Clouds,broken clouds,76,1020,2.57
jakarta,31.83,38.22,Clouds,scattered clouds,65,1009,1.54
johannesburg,19.47,19.61,Clouds,few clouds,82,1015,0.75
kingston,25.9,26.58,Clouds,few clouds,78,1015,1.54
kuala_lumpur,33.95,39.69,Clouds,overcast clouds,54,1009,1.2
kyiv,-0.92,-0.92,Clouds,broken clouds,77,1026,0.45
kyoto,13.95,13.15,Clouds,overcast clouds,67,1020,0.97
lagos,27.51,30.66,Clouds,few clouds,78,1010,1.14
lima,22.21,22.65,Clear,clear sky,83,1011,3.09
liverpool,1.14,-1.4,Fog,fog,91,1028,2.24
london,1.59,-0.87,Clear,clear sky,90,1028,2.24
los_angeles,19.06,17.88,Clear,clear sky,33,1015,1.54
lyon,2.92,-0.77,Clear,clear sky,87,1024,4.12
madrid,6.37,4.38,Clear,clear sky,82,1017,2.68
manchester,3.3,3.3,Fog,fog,91,1028,0.51
manila,30.71,34.01,Clouds,broken clouds,59,1011,4.63
marseille,6.99,4.84,Clear,clear sky,65,1017,3.09
medellin,18.77,19.26,Clouds,broken clouds,98,1014,1.34
melbourne,25.5,25.57,Clear,clear sky,56,1013,6.69
miami,19.47,19.61,Clouds,few clouds,82,1017,3.6
milano,4.89,4.89,Fog,fog,93,1019,1.03
monterrey,17.04,16.91,Clouds,overcast clouds,81,1022,1.1
montreal,1.76,-3.73,Snow,light snow,92,995,7.2
mumbai,32.0,32.28,Smoke,smoke,40,1014,4.12
munich,1.17,-1.48,Clouds,scattered clouds,93,1024,2.35
nagoya,14.98,13.63,Rain,light rain,42,1020,2.19
naha,23.95,24.44,Clouds,broken clouds,78,1020,6.17
nairobi,18.96,18.16,Clear,clear sky,48,1017,2.06
napoli,8.0,8.0,Clear,clear sky,90,1020,1.03
nashville,9.02,8.49,Clear,clear sky,49,1019,1.54
